"year","spec","priceDollars","revenueMillions"
1985,"CHNK",2.69982567365254,36.1305304703334
1985,"CHUM",0.700164746040792,56.875409462576
1985,"COHO",1.57793455004552,73.9917842267105
1985,"KCRB",3.64578975337077,57.5510078971277
1985,"PHLB",1.52896800164448,61.9851318575722
1985,"PINK",0.41179472751497,121.990049077504
1985,"PLCK",0.0742289239240824,3.12655961283109
1985,"SABL",1.55822165881699,38.6916815640506
1985,"SOCK",1.72093099085822,380.817005940317
1986,"CHNK",2.60125395995043,30.2278664390961
1986,"CHUM",0.610382739853849,57.9002511514736
1986,"COHO",1.55480917187758,69.9413834164424
1986,"KCRB",5.6898534619076,156.302214838632
1986,"PHLB",2.39800001136523,124.825471009606
1986,"PINK",0.408671024474159,103.984737735008
1986,"PLCK",0.0788301523448891,8.24429973494696
1986,"SABL",1.58680289813791,55.9020918044193
1986,"SOCK",2.44579631444438,473.933777275068
1987,"CHNK",3.38328615330888,44.5051771906678
1987,"CHUM",0.793608137683752,59.280560530403
1987,"COHO",1.90366869332632,47.0129601696755
1987,"KCRB",5.43973959262759,162.801320730139
1987,"PHLB",2.39010529211848,121.90332655856
1987,"PINK",0.717442367006122,107.131267873545
1987,"PLCK",0.192617800630123,58.1548762838391
1987,"SABL",1.9825960406256,88.1668905125336
1987,"SOCK",2.58597287986913,580.640818049734
1988,"CHNK",4.42092010745117,47.1411376060929
1988,"CHUM",1.42890080193738,165.375684738761
1988,"COHO",2.82410288682329,99.2306048020138
1988,"KCRB",6.4916050769238,134.871956514022
1988,"PHLB",1.94003389874917,110.9399072837
1988,"PINK",1.2813868803883,216.51911261174
1988,"PLCK",0.242878118463891,139.970844015232
1988,"SABL",2.52926833833411,121.735093926485
1988,"SOCK",3.79353362044676,713.684790153936
1989,"CHNK",2.93817648571142,31.5502096198049
1989,"CHUM",0.617303145216046,35.3820915387961
1989,"COHO",1.27833319895263,41.4941139963968
1989,"KCRB",6.21333239760724,150.721563381375
1989,"PHLB",2.28612911351624,117.649425700441
1989,"PINK",0.640097971498512,180.686980213704
1989,"PLCK",0.252041309002319,200.274529927937
1989,"SABL",2.36664012816908,104.080135056222
1989,"SOCK",2.20370281264864,573.039611868671
1990,"CHNK",2.90527457232699,31.4854773864079
1990,"CHUM",0.690122126689691,40.2750166232366
1990,"COHO",1.53185310202661,59.0997780872795
1990,"KCRB",6.50675989449027,220.820040674514
1990,"PHLB",2.66181631420713,128.203846062839
1990,"PINK",0.48939375234459,118.353953424986
1990,"PLCK",0.3124835188802,298.454825036691
1990,"SABL",2.17052609229453,88.2489568394884
1990,"SOCK",1.92405057760382,586.880273864079
1991,"CHNK",3.09957042990992,31.5131558853797
1991,"CHUM",0.451315031613283,29.7281333178728
1991,"COHO",1.15506301486717,47.3496483266418
1991,"KCRB",4.48565788246501,124.963013812996
1991,"PHLB",2.89122281782488,134.524298465062
1991,"PINK",0.207215623488914,66.4177750786312
1991,"PLCK",0.346528825313486,338.699993419622
