"","strategy.permit","CHNK_earn.bySpec","CHUM_earn.bySpec","COHO_earn.bySpec","DCRB_earn.bySpec","KCRB_earn.bySpec","PCOD_earn.bySpec","PHLB_earn.bySpec","PINK_earn.bySpec","PLCK_earn.bySpec","POUND_earn.bySpec","SABL_earn.bySpec","SAC_earn.bySpec","SOCK_earn.bySpec","TCRB_earn.bySpec"
"4552","M09B S01A",NA,0.136851065274894,NA,NA,NA,0.476801544962591,NA,0.335479878233562,NA,NA,NA,NA,NA,NA
"4553","M09B S01A T09L",NA,0.237765290214534,NA,NA,NA,0.369202257757821,NA,0.269559500226039,NA,NA,NA,NA,NA,0.112806357609108
"4554","M09B S01A T09M",NA,0.399953418409785,NA,NA,NA,0.387240057117816,NA,NA,NA,NA,NA,NA,NA,0.153023246863912
"4555","M09B S01E",NA,NA,NA,NA,NA,0.47350907342296,NA,0.481900218592852,NA,NA,NA,NA,NA,NA
"4556","M09B S01E S03E",NA,NA,0.15957705430604,NA,NA,0.143784037079066,NA,0.261014972043322,NA,NA,NA,NA,0.314232372557686,NA
"4557","M09B S01E T09M",NA,NA,NA,NA,NA,0.467440915559862,NA,0.254617285374031,NA,NA,NA,NA,NA,0.266564212404956
"4558","M09B S01H",NA,NA,NA,NA,NA,0.689507774845559,NA,NA,NA,NA,NA,NA,0.248736951950338,NA
"4559","M09B S01K",NA,NA,NA,NA,NA,0.475291462318159,NA,0.21052509881902,NA,NA,NA,NA,0.245169411251944,NA
"4560","M09B S01K T09K",NA,NA,NA,NA,NA,0.317717229576353,NA,0.21058999204856,NA,NA,NA,NA,0.217362439361145,0.174500646506977
"4561","M09B S01K T09L",NA,NA,NA,NA,NA,0.488274921878172,NA,0.122054876398502,NA,NA,NA,NA,0.139077050868143,0.212757658760533
"4562","M09B S01K TB9BK",NA,NA,NA,NA,NA,0.203360423766286,NA,0.345272037248813,NA,NA,NA,NA,0.276931080417856,0.118745940331857
"4563","M09B S01L",NA,NA,NA,NA,NA,0.289815868498809,NA,NA,NA,NA,NA,NA,0.652525000770705,NA
"4564","M09B S01L T09L",NA,NA,NA,NA,NA,0.246936634528147,NA,NA,NA,NA,NA,NA,0.473172527931183,0.27754740606211
"4565","M09B S01L T09O",NA,NA,NA,NA,NA,0.227106665909006,NA,NA,NA,NA,NA,NA,0.396756333195983,0.375806281588689
"4566","M09B S01M",NA,NA,NA,NA,NA,0.410572534117003,NA,0.225630950606396,NA,NA,NA,NA,0.264800732162601,NA
"4567","M09B S01M S04M",NA,NA,NA,NA,NA,0.36343493357154,NA,0.207241937076373,NA,NA,NA,NA,0.374423938737383,NA
"4568","M09B S01M T09M",NA,NA,NA,NA,NA,0.463099714210531,NA,0.122322426974938,NA,NA,NA,NA,0.162249459273874,0.189777845024541
"4569","M09B S03A",NA,0.230967180770866,NA,NA,NA,0.658866717100509,NA,NA,NA,NA,NA,NA,NA,NA
"4570","M09B S03E",NA,NA,NA,NA,NA,0.212842588099388,NA,0.13524218232979,NA,NA,NA,NA,0.463157755942131,NA
"4571","M09B S03H",NA,NA,NA,NA,NA,0.694629204874381,NA,NA,NA,NA,NA,NA,0.273954058239042,NA
"4572","M09B S03M",NA,NA,NA,NA,NA,0.510344638913152,NA,NA,NA,NA,NA,NA,0.464868834183058,NA
"4573","M09B S03M T09L",NA,NA,0.239449313075753,NA,NA,0.18758232542811,NA,NA,NA,NA,NA,NA,0.334215961048462,0.230293326047005
"4574","M09B S03T",NA,NA,NA,NA,NA,0.751761996577896,NA,NA,NA,NA,NA,NA,0.244203809908238,NA
"4575","M09B S03T T09O",NA,NA,NA,NA,NA,0.715652703470678,NA,NA,NA,NA,NA,NA,0.172831620852933,0.108438140399997
"4576","M09B S04K",NA,NA,NA,NA,NA,0.612672411121814,NA,NA,NA,NA,NA,NA,0.243980512758118,NA
"4577","M09B S04M",NA,NA,NA,NA,NA,0.514859623019133,NA,NA,NA,NA,NA,NA,0.427988889070028,NA
"4578","M09B S04M T09L",NA,NA,NA,NA,NA,0.295455085197285,NA,NA,NA,NA,NA,NA,0.477767326536249,0.203532408873424
"4579","M09B S04M T09M",NA,NA,NA,NA,NA,0.503309415419662,NA,NA,NA,NA,NA,NA,0.282986467649606,0.186346250252482
"4580","M09B S04T",NA,NA,NA,NA,NA,0.596888815819946,NA,NA,NA,NA,NA,NA,0.395188464179174,NA
"4581","M09B S15B",0.104397941369643,NA,0.229949311108656,NA,NA,0.6653206881901,NA,NA,NA,NA,NA,NA,NA,NA
"4582","M09B T09H",NA,NA,NA,NA,NA,0.756594509806634,NA,NA,NA,NA,NA,NA,NA,0.237026032848464
"4583","M09B T09K",NA,NA,NA,NA,NA,0.364538276683649,NA,NA,NA,NA,NA,NA,NA,0.588399958708989
"4584","M09B T09L",NA,NA,NA,NA,NA,0.789571669930649,NA,NA,NA,NA,NA,NA,NA,0.207745853236031
"4585","M09B T09M",NA,NA,NA,NA,NA,0.813140617338345,NA,NA,NA,NA,NA,NA,NA,0.175115036592605
"4586","M09B T09O",NA,NA,NA,NA,NA,0.14880200026658,NA,NA,NA,NA,NA,NA,NA,0.85119799973342
"4587","M09B TB9BK",NA,NA,NA,NA,NA,0.742322534917134,NA,NA,NA,NA,NA,NA,NA,0.2559100553823
"4588","M09G",NA,NA,NA,NA,NA,0.972231341668044,NA,NA,NA,NA,NA,NA,NA,NA
"4589","M09G M26B",NA,NA,NA,NA,NA,0.980346354283613,NA,NA,NA,NA,NA,NA,NA,NA
"4590","M09G M26G",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"4591","M09G M26G T09L",NA,NA,NA,NA,NA,0.31944742658232,NA,NA,NA,NA,NA,NA,NA,0.680552021690245
"4592","M09G M7FB",NA,NA,NA,NA,NA,0.833064740205613,NA,NA,0.164780751854939,NA,NA,NA,NA,NA
"4593","M09G M7FB S01M",NA,NA,NA,NA,NA,0.470893414889398,NA,0.105544629998665,0.126798341912213,NA,NA,NA,0.248350780249266,NA
"4594","M09G M7FB T09M",NA,NA,NA,NA,NA,0.454027395666996,NA,NA,0.372333227937799,NA,NA,NA,NA,0.170230996296501
"4595","M09G M7FG",NA,NA,NA,NA,NA,0.675239901774823,NA,NA,0.321415499925199,NA,NA,NA,NA,NA
"4596","M09G M7FG S01M",NA,NA,NA,NA,NA,0.365631934016192,NA,0.119104887204232,0.246520586330141,NA,NA,NA,0.203953448463983,NA
"4597","M09G M7FG S01M S04M",NA,NA,NA,NA,NA,0.212996927630681,NA,0.197601218688209,NA,NA,NA,NA,0.431513214998659,NA
"4598","M09G M7FG S01M T09M",NA,NA,NA,NA,NA,0.340347267520667,NA,0.135074241921163,NA,NA,NA,NA,0.223245968318946,0.188466350753721
"4599","M09G M7FG S03M",NA,NA,NA,NA,NA,0.453759065315043,NA,NA,0.134435649725787,NA,NA,NA,0.373010940094196,NA
"4600","M09G M7FG S04M",NA,NA,NA,NA,NA,0.557221151100743,NA,NA,0.300071647070794,NA,NA,NA,0.119239837390779,NA
"4601","M09G O09B",NA,NA,NA,NA,NA,0.949843244064813,NA,NA,NA,NA,NA,NA,NA,NA
"4602","M09G S01A",NA,NA,NA,NA,NA,0.408639876502004,NA,0.344289532199237,NA,NA,NA,NA,0.1072442203227,NA
"4603","M09G S01E",NA,0.205183532584277,NA,NA,NA,0.149472502314279,NA,0.597026051731567,NA,NA,NA,NA,NA,NA
"4604","M09G S01K",NA,NA,NA,NA,NA,0.47381607710961,NA,0.246577680650256,NA,NA,NA,NA,0.211912576096117,NA
"4605","M09G S01K TB9BK",NA,NA,NA,NA,NA,0.129848131217206,NA,0.387072810332765,NA,NA,NA,NA,0.22189460171365,0.221288458832012
"4606","M09G S01L",NA,NA,NA,NA,NA,0.306307082860367,NA,0.11184115428124,NA,NA,NA,NA,0.493551432572531,NA
