PERIOD,VALUE,Permit,,
1982,165000,G 01A,,
1983,NA,G 01A,,
1984,NA,G 01A,,
1985,NA,G 01A,,
1986,NA,G 01A,,
1987,216667,G 01A,,
1988,423333,G 01A,,
1989,423333,G 01A,,
1990,330000,G 01A,,
1991,235000,G 01A,,
1992,235000,G 01A,,
1993,207500,G 01A,,
1994,185000,G 01A,,
1995,175000,G 01A,,
1996,287300,G 01A,,
1997,227500,G 01A,,
1998,208500,G 01A,,
1999,211800,G 01A,,
2000,241300,G 01A,,
2001,244500,G 01A,,
2002,255900,G 01A,,
2003,258700,G 01A,,
2004,297000,G 01A,,
2005,297000,G 01A,,
2006,280000,G 01A,,
2007,283800,G 01A,,
2008,290000,G 01A,,
2009,290000,G 01A,,
2010,444000,G 01A,,
2011,518800,G 01A,,
2012,366300,G 01A,,
2013,430000,G 01A,,
2014,419000,G 01A,,
2015,243300,G 01A,,
2000,17700,G 34A,,
2001,13800,G 34A,,
2002,12000,G 34A,,
2003,9700,G 34A,,
2004,14300,G 34A,,
2005,10200,G 34A,,
2006,9300,G 34A,,
2007,7000,G 34A,,
2008,8600,G 34A,,
2009,13300,G 34A,,
2010,15800,G 34A,,
2011,16000,G 34A,,
2012,12100,G 34A,,
2013,12600,G 34A,,
2014,13400,G 34A,,
2015,13400,G 34A,,
1982,27500,G 34A,,
1983,29167,G 34A,,
1984,39583,G 34A,,
1985,45000,G 34A,,
1986,51250,G 34A,,
1987,51136,G 34A,,
1988,48827,G 34A,,
1989,54750,G 34A,,
1990,54333,G 34A,,
1991,25700,G 34A,,
1992,34900,G 34A,,
1993,39000,G 34A,,
1994,32800,G 34A,,
1995,31800,G 34A,,
1996,34900,G 34A,,
1997,35100,G 34A,,
1998,26400,G 34A,,
1999,18200,G 34A,,
1982,40636,S 01A,,
1983,38531,S 01A,,
1984,40884,S 01A,,
1985,37907,S 01A,,
1986,36059,S 01A,,
1987,40832,S 01A,,
1988,65833,S 01A,,
1989,79267,S 01A,,
1990,110563,S 01A,,
1991,92700,S 01A,,
1992,65000,S 01A,,
1993,79600,S 01A,,
1994,73600,S 01A,,
1995,75900,S 01A,,
1996,61200,S 01A,,
1997,50000,S 01A,,
1998,49500,S 01A,,
1999,40400,S 01A,,
2000,39300,S 01A,,
2001,34700,S 01A,,
2002,22800,S 01A,,
2003,32800,S 01A,,
2004,32100,S 01A,,
2005,41800,S 01A,,
2006,52900,S 01A,,
2007,59700,S 01A,,
2008,67800,S 01A,,
2009,72800,S 01A,,
2010,87400,S 01A,,
2011,129500,S 01A,,
2012,236000,S 01A,,
2013,300800,S 01A,,
2014,307000,S 01A,,
2015,250000,S 01A,,
1982,38650,S 03A,,
1983,34653,S 03A,,
1984,34615,S 03A,,
1985,36245,S 03A,,
1986,44849,S 03A,,
1987,55632,S 03A,,
1988,77621,S 03A,,
1989,128667,S 03A,,
1990,106500,S 03A,,
1991,82800,S 03A,,
1992,75500,S 03A,,
1993,82200,S 03A,,
1994,62900,S 03A,,
1995,70800,S 03A,,
1996,59400,S 03A,,
1997,50600,S 03A,,
1998,35400,S 03A,,
1999,33900,S 03A,,
2000,33000,S 03A,,
2001,41300,S 03A,,
2002,27900,S 03A,,
2003,21100,S 03A,,
2004,21800,S 03A,,
2005,29500,S 03A,,
2006,38900,S 03A,,
2007,55900,S 03A,,
2008,54400,S 03A,,
2009,53900,S 03A,,
2010,57400,S 03A,,
2011,80100,S 03A,,
2012,94600,S 03A,,
2013,113200,S 03A,,
2014,94900,S 03A,,
2015,88900,S 03A,,
