p_fshy,description,pfshy_species,pfshy_gear,pfshy_area
K91TC,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BRISTOL BAY CDQ, CBSFA",king crab, pot gear vessel 60' or over," bristol bay cdq, cbsfa"
K91TD,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BRISTOL BAY CDQ, CVRF",king crab, pot gear vessel 60' or over," bristol bay cdq, cvrf"
K91TE,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BRISTOL BAY CDQ, NSEDC",king crab, pot gear vessel 60' or over," bristol bay cdq, nsedc"
K91TF,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BRISTOL BAY CDQ, YDFDA",king crab, pot gear vessel 60' or over," bristol bay cdq, ydfda"
K91X,"KING CRAB , POT GEAR VESSEL 60' OR OVER, KOTZEBUE",king crab, pot gear vessel 60' or over, kotzebue
K91Z,"KING CRAB , POT GEAR VESSEL 60' OR OVER, NORTON SOUND",king crab, pot gear vessel 60' or over, norton sound
L12E,"HERRING SPAWN ON KELP , DIVE/HAND PICK, PRINCE WILLIAM SOUND",herring spawn on kelp, dive/hand pick, prince william sound
L12T,"HERRING SPAWN ON KELP , HAND PICK, BRISTOL BAY",herring spawn on kelp, hand pick, bristol bay
L21A,"HERRING SPAWN ON KELP , POUND, NORTHERN SOUTHEAST",herring spawn on kelp, pound, northern southeast
L21C,"HERRING SPAWN ON KELP , POUND, SOUTHERN SOUTHEAST",herring spawn on kelp, pound, southern southeast
L21E,"HERRING SPAWN ON KELP , POUND, PRINCE WILLIAM SOUND",herring spawn on kelp, pound, prince william sound
M01B,"MISC. SALTWATER FINFISH , PURSE SEINE, STATEWIDE",misc. saltwater finfish, purse seine, statewide
M01G,"MISC. SALTWATER FINFISH , PURSE SEINE, GOA",misc. saltwater finfish, purse seine, goa
M02B,"MISC. SALTWATER FINFISH , BEACH SEINE, STATEWIDE",misc. saltwater finfish, beach seine, statewide
M02G,"MISC. SALTWATER FINFISH , BEACH SEINE, GOA",misc. saltwater finfish, beach seine, goa
M05B,"MISC. SALTWATER FINFISH , HAND TROLL, STATEWIDE",misc. saltwater finfish, hand troll, statewide
M05G,"MISC. SALTWATER FINFISH , HAND TROLL, GOA",misc. saltwater finfish, hand troll, goa
M06B,"MISC. SALTWATER FINFISH , LONGLINE VESSEL UNDER 60', STATEWIDE",misc. saltwater finfish, longline vessel under 60', statewide
M06G,"MISC. SALTWATER FINFISH , LONGLINE VESSEL UNDER 60', GOA",misc. saltwater finfish, longline vessel under 60', goa
M09B,"MISC. SALTWATER FINFISH , POT GEAR VESSEL UNDER 60', STATEWIDE",misc. saltwater finfish, pot gear vessel under 60', statewide
M09G,"MISC. SALTWATER FINFISH , POT GEAR VESSEL UNDER 60', GOA",misc. saltwater finfish, pot gear vessel under 60', goa
M17B,"MISC. SALTWATER FINFISH , BEAM TRAWL, STATEWIDE",misc. saltwater finfish, beam trawl, statewide
M17G,"MISC. SALTWATER FINFISH , BEAM TRAWL, GOA",misc. saltwater finfish, beam trawl, goa
M25B,"MISC. SALTWATER FINFISH , DINGLEBAR TROLL, STATEWIDE",misc. saltwater finfish, dinglebar troll, statewide
M25G,"MISC. SALTWATER FINFISH , DINGLEBAR TROLL, GOA",misc. saltwater finfish, dinglebar troll, goa
M26B,"MISC. SALTWATER FINFISH , MECHANICAL JIG, STATEWIDE",misc. saltwater finfish, mechanical jig, statewide
M26G,"MISC. SALTWATER FINFISH , MECHANICAL JIG, GOA",misc. saltwater finfish, mechanical jig, goa
M37B,"MISC. SALTWATER FINFISH , PAIR TRAWL, STATEWIDE",misc. saltwater finfish, pair trawl, statewide
M37G,"MISC. SALTWATER FINFISH , PAIR TRAWL, GOA",misc. saltwater finfish, pair trawl, goa
M6AB,"MISC. SALTWATER FINFISH , LONGLINE VESSEL 90' OR OVER, STATEWIDE",misc. saltwater finfish, longline vessel 90' or over, statewide
M6AG,"MISC. SALTWATER FINFISH , LONGLINE VESSEL 90' OR OVER, GOA",misc. saltwater finfish, longline vessel 90' or over, goa
M6BB,"MISC. SALTWATER FINFISH , LONGLINE VESSEL 60' TO UNDER 90', STATEWIDE",misc. saltwater finfish, longline vessel 60' to under 90', statewide
M6BG,"MISC. SALTWATER FINFISH , LONGLINE VESSEL 60' TO UNDER 90', GOA",misc. saltwater finfish, longline vessel 60' to under 90', goa
M7FB,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL UNDER 60', STATEWIDE",misc. saltwater finfish, otter trawl vessel under 60', statewide
M7FG,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL UNDER 60', GOA",misc. saltwater finfish, otter trawl vessel under 60', goa
