Year,Chinook,Sockeye,Coho,Pink,Chum,Region,Source,ReportNumber
1979,3.2,0,3.1,0.2,1.2,Southeast,McNair_1994,5FJ94-10
1979,0,0,0.5,1.8,0,PWS,McNair_1994,5FJ94-10
1979,0,0,0,1.2,0,Kodiak,McNair_1994,5FJ94-10
1980,8.8,0,0.9,0,1,Southeast,McNair_1994,5FJ94-10
1980,0,0,1.3,8.4,0.6,PWS,McNair_1994,5FJ94-10
1980,0,0,0,1.2,0,Kodiak,McNair_1994,5FJ94-10
1981,0.7,0,3,0.1,0.1,Southeast,McNair_1994,5FJ94-10
1981,0,0,0,7.1,0.7,PWS,McNair_1994,5FJ94-10
1981,0,0,0,3.9,0,Kodiak,McNair_1994,5FJ94-10
1982,0.2,0,3.9,0.1,6.9,Southeast,McNair_1994,5FJ94-10
1982,0,0,0,22.7,0.1,PWS,McNair_1994,5FJ94-10
1982,0,0,0,1.1,0,Kodiak,McNair_1994,5FJ94-10
1983,0.4,0,3.8,0.1,14.5,Southeast,McNair_1994,5FJ94-10
1983,0,1,0,27.8,1.2,PWS,McNair_1994,5FJ94-10
1983,0,0,0,1.7,0,Kodiak,McNair_1994,5FJ94-10
1984,2.5,0,6.2,0.3,27,Southeast,McNair_1994,5FJ94-10
1984,0,1.2,0,14.3,6.3,PWS,McNair_1994,5FJ94-10
1984,0,0,0,1.3,0,Kodiak,McNair_1994,5FJ94-10
1985,7.1,0,7.7,0.9,24.7,Southeast,McNair_1994,5FJ94-10
1985,0,2.3,0,28.6,4.7,PWS,McNair_1994,5FJ94-10
1985,0,0,1.5,28.9,4.8,Kodiak,McNair_1994,5FJ94-10
1986,6.8,1.3,9.9,0.9,31.7,Southeast,McNair_1994,5FJ94-10
1986,0,3.1,1.2,56.2,10.4,PWS,McNair_1994,5FJ94-10
1986,0.3,0.4,0.2,2.4,2.1,Kodiak,McNair_1994,5FJ94-10
1987,11,2.6,8.6,5.2,39.1,Southeast,McNair_1994,5FJ94-10
1987,0.2,3.5,13.8,55.6,6.6,PWS,McNair_1994,5FJ94-10
1987,0,0.3,0.6,16.5,0.2,Kodiak,McNair_1994,5FJ94-10
1988,12.8,1.4,4.7,1.1,31.3,Southeast,McNair_1994,5FJ94-10
1988,0.7,9.1,12.5,88.6,26.8,PWS,McNair_1994,5FJ94-10
1988,0.1,3.9,1.8,2.7,3.8,Kodiak,McNair_1994,5FJ94-10
1989,7.9,1.7,3.7,1.5,27.3,Southeast,McNair_1994,5FJ94-10
1989,1.1,10.8,37,87.8,20.5,PWS,McNair_1994,5FJ94-10
1989,0,11.7,0,0,0,Kodiak,McNair_1994,5FJ94-10
1990,12.3,5.2,13.5,1.7,26.4,Southeast,McNair_1994,5FJ94-10
1990,1.1,16.4,39.7,79.9,65.3,PWS,McNair_1994,5FJ94-10
1990,0,18.9,0.8,5.9,0.2,Kodiak,McNair_1994,5FJ94-10
1991,13.7,4.8,28.5,1.8,34.2,Southeast,McNair_1994,5FJ94-10
1991,0.5,40.8,13.1,77.5,70,PWS,McNair_1994,5FJ94-10
1991,0,22.5,0.9,4.9,1,Kodiak,McNair_1994,5FJ94-10
1992,15.6,7.5,23.6,4.1,37.6,Southeast,McNair_1994,5FJ94-10
1992,1.1,30.1,22.5,79.2,75.4,PWS,McNair_1994,5FJ94-10
1992,0,8.7,0.9,5.5,0.1,Kodiak,McNair_1994,5FJ94-10
1993,10.8,11.3,14.5,1.2,57.4,Southeast,McNAir_2012,5J95-06
1993,2,18.8,8.1,63.9,94.4,PWS,McNAir_2012,5J95-06
1993,8.6,9.3,4.6,40.7,22.7,Kodiak,McNAir_2012,5J95-06
1994,12.5,6.7,13.7,3.5,52.6,Southeast,McNair_1995,5595-06
1994,0.7,15,5.8,73.6,69.6,PWS,McNair_1997,5595-06
1994,0,24,4.6,11,0.2,Kodiak,McNair_1997,5595-06
1997,14.2,12.6,25.1,2.6,81.2,Southeast,McNair_1998,5J98-03
1997,1.7,28.8,79.8,93.6,76.1,PWS,McNair_1998,5J98-03
1997,0,16.5,31.1,11.1,2.2,Kodiak,McNair_1998,5J98-03
1998,9.7,15.2,22.3,2.1,65.9,Southeast,McNair_1999,5J599-02
1998,0,39.7,15.1,80.5,68.2,PWS,McNair_1999,5J599-02
1998,0,23.3,35.3,28.4,12,Kodiak,McNair_1999,5J599-02
1999,19.8,11.5,22.5,1.1,68.9,Southeast,McNair_2000,5J00-02
1999,0,20.6,29.4,77.7,83.1,PWS,McNair_2000,5J00-02
1999,0,18.1,39.2,34.1,15.4,Kodiak,McNair_2000,5J00-02
2000,29.7,16,20.1,1,72.7,Southeast,McNair_2001,5J01-01
2000,0,34.3,65.3,81.8,88.1,PWS,McNair_2001,5J01-01
2000,0,15.8,40.4,36.9,25.5,Kodiak,McNair_2001,5J01-01
2001,32.3,14.8,21,1.8,53.8,Southeast,McNair_2002,5J02-04
2001,0,37.2,25.7,70.4,70.7,PWS,McNair_2002,5J02-04
2001,0,15.5,37.6,67.9,20.6,Kodiak,McNair_2002,5J02-04
2002,14.8,11.2,28.4,2.1,82.1,Southeast,Farrington_2003,5J03-05
2002,0,29.3,4.4,97.8,93.2,PWS,Farrington_2003,5J03-05
2002,0,34.2,42.3,36.6,13.6,Kodiak,Farrington_2003,5J03-05
2004,14.4,19.8,16.9,1.2,59,Southeast,White_2005,05_09
2004,0,26.3,5.7,69.5,77.8,PWS,White_2005,05_09
2004,0,6.7,27.1,10.5,21.3,Kodiak,White_2005,05_09
2005,11.9,8.3,17.9,1.3,61,Southeast,White_2006,06_19
2005,0,18.3,37.3,74.1,95.3,PWS,White_2006,06_19
2005,0,7.1,38.3,39.9,19.2,Kodiak,White_2006,06_19
2006,12.1,20.6,17.6,2.6,83.6,Southeast,White_2007,07_04
2006,0,38.3,49.1,80.3,75.3,PWS,White_2007,07_04
2006,0,7.2,28.3,6.3,16.3,Kodiak,White_2007,07_04
2007,17.6,3.4,22,1.3,73.2,Southeast,White_2008,08_03
2007,0,31.4,44.4,80.6,99.2,PWS,White_2008,08_03
2007,0,10.4,34.1,26.9,28.5,Kodiak,White_2008,08_03
2008,31,8.9,22,0.6,84.8,Southeast,White_2009,09_08
2008,0,65.7,52.4,92.5,92.5,PWS,White_2009,09_08
2008,0,17.2,39.2,6,10.2,Kodiak,White_2009,09_08
2009,22.7,6.7,19.1,1.7,88.4,Southeast,White_2010,10_05
2009,0,45.7,7.3,90.5,91.3,PWS,White_2010,10_05
2009,0,13.5,43.7,26.4,10.3,Kodiak,White_2010,10_05
2010,22.1,8,28.1,2.1,71.8,Southeast,White_2011,11_04
2010,0,78.3,4.8,98.4,99.5,PWS,White_2011,11_04
2010,0,20.8,42.6,27.9,25.8,Kodiak,White_2011,11_04
2011,21.8,12.7,29.1,1.2,75.1,Southeast,Vercessi_2012,12_04
2011,0,49.6,49.7,75.1,83.7,PWS,Vercessi_2012,12_04
2011,0,20.5,34.4,3.5,36.7,Kodiak,Vercessi_2012,12_04
2012,21.3,12,26.6,1.1,83.5,Southeast,Vercessi_2013,13_05
2012,0,44,5.1,84.3,88.1,PWS,Vercessi_2013,13_05
2012,0,13.5,22.4,11.5,25.2,Kodiak,Vercessi_2013,13_05
2013,31.8,14.1,25.8,1.6,80.5,Southeast,Vercessi_2014,14_12
2013,0,44.5,38.5,79.9,87.7,PWS,Vercessi_2014,14_12
2013,0,14.6,19.6,38.1,12.2,Kodiak,Vercessi_2014,14_12
2014,13.3,6.6,27.2,0.9,85.3,Southeast,Vercessi_2014,15_15
2014,0,45.2,28.7,92.5,67.9,PWS,Vercessi_2014,15_15
2014,0,9.3,48.6,51,13.5,Kodiak,Vercessi_2014,15_15
2015,20.2,4,29.6,0.8,81.2,Southeast,Stopha_2015,5J16-03
2015,0,48.9,31.3,72.3,81.2,PWS,Stopha_2015,5J16-03
2015,0,8.5,9.2,6.4,5.5,Kodiak,Stopha_2015,5J16-03
