"strategy_permit" "mean_rev" "cv_rev" "diversity" "n" "gear" "price"
"S01A" 192052.925951952 0.438663998042905 2.04582285068174 323.268292682927 "Purse seine" 250000
"S01E" 161978.997780424 0.901901633617819 1.41942027964948 195.048780487805 "Purse seine" 186700
"S01H" 71711.7027774239 0.762127610609035 1.50319591747224 43.7317073170732 "Purse seine" 84800
"S01K" 136011.444582416 0.639551912285726 1.9446549580613 247.926829268293 "Purse seine" 40000
"S01L" 210672.140494714 0.615306395122861 1.33671921783695 87.3170731707317 "Purse seine" 227500
"S01M" 215234.48099073 0.624952443694871 2.13982609429842 88.2926829268293 "Purse seine" 56900
"S03A" 50822.0425950796 0.321673672165653 2.53611646529579 441.268292682927 "Drift gillnet" 88900
"S03E" 62240.8822071588 0.338231625067952 2.04239316604201 523.975609756098 "Drift gillnet" 224200
"S03H" 48446.0619870378 0.832630074940616 1.38797297146808 510.780487804878 "Drift gillnet" 63500
"S03M" 130771.171702166 0.477005455849926 1.21974674119782 147.853658536585 "Drift gillnet" 119500
"S03T" 82258.5756877314 0.381316577459157 1.15367333073199 1678.36585365854 "Drift gillnet" 148200
"S03W" 3316.11015070998 NA 2.14719038043742 648 "Drift gillnet" NA
"S04D" 25091.2694144166 0.471222014281273 1.70674892949762 141.365853658537 "Set gillnet" 88900
"S04H" 34683.4222572343 0.703368042018754 1.51068183179955 563.560975609756 "Set gillnet" 15300
"S04K" 59775.7937195336 0.434392509587166 1.64639701540187 164.341463414634 "Set gillnet" 77000
"S04M" 68642.6020891772 0.397650098143379 1.43473960378949 95.4634146341463 "Set gillnet" 55900
"S04T" 28105.6704370358 0.367590188917812 1.11894469033214 848.390243902439 "Set gillnet" 38500
"S04W" 6550.19177361048 0.572144872559928 2.14295079137044 637.292682926829 "Set gillnet" 7300
"S04Y" 10811.7894695735 0.552183568330922 1.47544706583766 603.375 "Set gillnet" 9900
"S04Z" 6865.7126229577 0.582541535855517 1.66283369306603 117.463414634146 "Set gillnet" 11100
"S05B" 5961.89888595249 0.384722357055702 1.48371432789975 715.365853658537 "Hand troll" 11000
"S15B" 37563.5666210765 0.342546350229231 1.79733540822496 778.024390243902 "Power troll" 38300
