Species,AvgWt_pounds,AvgPrice_pounds,fish_thousands,pounds_fish_thousands,value_thousands,Year,Region
Sockeye,6.38,1.14,1905,12153,13854,2007,Southeast
Coho,6.22,1.32,2063,12834,16941,2007,Southeast
Pink,3.6,0.21,44885,161444,33903,2007,Southeast
Chum,8.19,0.39,9416,77090,30065,2007,Southeast
Chinook,14.94,5.45,271,4056,22104,2008,Southeast
Sockeye,6.3,1.37,436,2747,3771,2008,Southeast
Coho,7.98,1.64,2382,19001,31217,2008,Southeast
Pink,3.68,0.37,15974,58798,21933,2008,Southeast
Chum,8.59,0.69,9066,77915,54064,2008,Southeast
Chinook,14.06,3.18,267,3759,11970,2009,Southeast
Sockeye,5.94,1.24,926,5496,6818,2009,Southeast
Coho,6.36,1.05,2635,16770,17615,2009,Southeast
Pink,3.16,0.29,38101,120410,34634,2009,Southeast
Chum,7.37,0.57,9660,71229,40484,2009,Southeast
Chinook,14.37,4.21,260,3742,15772,2010,Southeast
Sockeye,5.9,1.68,716,4220,7079,2010,Southeast
Coho,7.54,1.27,2578,19444,24735,2010,Southeast
Pink,4.25,0.40,23782,101063,40136,2010,Southeast
Chum,8.35,0.76,9371,78254,59334,2010,Southeast
Chinook,13.39,3.98,344,4612,18358,2011,Southeast
Sockeye,6.07,1.62,1235,7499,12124,2011,Southeast
Coho,5.97,1.27,2305,13766,17524,2011,Southeast
Pink,3.71,0.47,59083,219257,102238,2011,Southeast
Chum,7.63,0.91,10730,81919,74770,2011,Southeast
Chinook,13.04,4.42,278,3629,16030,2012,Southeast
Sockeye,6.26,1.32,945,5908,7806,2012,Southeast
Coho,6.39,1.47,2084,13311,19579,2012,Southeast
Pink,3.57,0.48,21302,76029,36575,2012,Southeast
Chum,9.09,0.82,12375,112547,92074,2012,Southeast
Chinook,13,6.70,200,2601,17423,2013,Southeast
Sockeye,6.03,1.85,910,5488,10140,2013,Southeast
Coho,5.7,1.17,3504,19987,23410,2013,Southeast
Pink,3.52,0.40,89234,313714,124742,2013,Southeast
Chum,8.16,0.52,10220,83415,43638,2013,Southeast
Chinook,12.1,4.27,423,5092,21744,2014,Southeast
Sockeye,5.8,1.75,1558,9038,15816,2014,Southeast
Coho,6.8,1.35,3674,25846,34892,2014,Southeast
Pink,3.5,0.28,37092,131076,36701,2014,Southeast
Chum,9.1,0.64,6501,59430,38035,2014,Southeast
Chinook,10.06,3.81,307,3085,11751,2015,Southeast
Sockeye,4.36,1.09,1389,6054,6598,2015,Southeast
Coho,5.88,0.78,1876,11030,8604,2015,Southeast
Pink,3.84,0.20,34089,130900,26180,2015,Southeast
Chum,8.46,0.50,8559,72407,36204,2015,Southeast
Chinook,22.18,1.49,50,1090,1630,1994,PWS
Sockeye,5.74,1.26,1520,8700,10960,1994,PWS
Coho,9.77,0.73,1060,10340,7550,1994,PWS
Pink,3.12,0.19,36890,115090,21870,1994,PWS
Chum,8.48,0.46,1060,8970,4130,1994,PWS
Chinook,24,2.27,70,1650,3750,1995,PWS
Sockeye,5.7,1.55,1520,8750,13570,1995,PWS
Coho,9.4,0.50,970,9030,4520,1995,PWS
Pink,3.6,0.21,16070,57280,12030,1995,PWS
Chum,7.9,0.44,760,5960,2620,1995,PWS
Chinook,24.74,1.60,60,1450,2320,1996,PWS
Sockeye,6.36,1.30,2990,19010,24720,1996,PWS
Coho,8.12,0.50,420,3440,1720,1996,PWS
Pink,3.63,0.08,26020,94460,7560,1996,PWS
Chum,8.68,0.18,2390,20740,3730,1996,PWS
Chinook,22.69,2.01,50,1220,2450,1997,PWS
Sockeye,6.33,0.96,4160,26340,25290,1997,PWS
Coho,7.67,0.58,80,640,370,1997,PWS
Pink,3.75,0.14,25434,96890,13570,1997,PWS
Chum,8.61,0.32,2230,19180,6140,1997,PWS
Chinook,22.45,2.40,70,1620,3900,1998,PWS
Sockeye,6.04,1.50,1720,10370,15560,1998,PWS
Coho,8.85,0.55,190,1720,950,1998,PWS
Pink,3.67,0.15,28690,105310,15800,1998,PWS
Chum,8.19,0.30,1270,10420,3130,1998,PWS
Chinook,21.04,4.20,60,1360,5700,1999,PWS
Sockeye,5.98,1.70,2040,12180,20710,1999,PWS
Coho,8,0.58,170,1360,790,1999,PWS
Pink,2.97,0.14,45010,133690,18720,1999,PWS
Chum,8.24,0.26,1960,16160,4200,1999,PWS
Chinook,20.8,4.08,30,670,2710,2000,PWS
Sockeye,6.48,1.57,1430,9310,14660,2000,PWS
Coho,9.4,0.52,710,6690,3460,2000,PWS
Pink,3.34,0.15,38890,132990,20350,2000,PWS
Chum,8.04,0.28,5160,41520,11540,2000,PWS
Chinook,21.1,3.71,40,870,3240,2001,PWS
Sockeye,6.14,1.11,2260,13890,15420,2001,PWS
Coho,8.61,0.31,490,4250,1320,2001,PWS
Pink,3.39,0.14,35250,119460,16720,2001,PWS
Chum,7.58,0.40,3100,23500,9400,2001,PWS
Chinook,20.75,3.51,40,830,2913,2002,PWS
Sockeye,6.39,1.13,2263,14453,16332,2002,PWS
Coho,9.36,0.36,651,6096,2195,2002,PWS
Pink,3.47,0.12,18951,65795,7895,2002,PWS
Chum,0.25,0.16,6374,52583,8413,2002,PWS
Chinook,22.84,3.46,49,1119,3872,2003,PWS
Sockeye,6.1,1.10,2730,16660,18326,2003,PWS
Coho,8.39,0.47,522,4378,2058,2003,PWS
Pink,3.64,0.09,51976,189442,17050,2003,PWS
Chum,6.38,0.18,3804,24285,4371,2003,PWS
Chinook,22.46,4.67,39,879,4110,2004,PWS
Sockeye,5.8,1.38,1893,10977,15160,2004,PWS
Coho,9.03,0.70,620,5595,3939,2004,PWS
Pink,3.72,0.12,23531,87449,10495,2004,PWS
Chum,7.52,0.22,2002,15047,3257,2004,PWS
Chinook,21.63,4.72,36,781,3688,2005,PWS
Sockeye,5.9,1.57,1989,11740,18432,2005,PWS
Coho,7.86,0.76,523,4178,3175,2005,PWS
Pink,3.46,0.12,59945,207217,24866,2005,PWS
Chum,7.87,0.30,2099,16525,4958,2005,PWS
Chinook,20.41,5.04,32,646,3254,2006,PWS
Sockeye,5.59,1.61,2525,14116,22727,2006,PWS
Coho,8.93,0.81,764,6824,5527,2006,PWS
Pink,3.6,0.17,21722,78288,13309,2006,PWS
Chum,8.71,0.37,2182,19008,7033,2006,PWS
Chinook,21.85,4.57,41,896,4095,2007,PWS
Sockeye,6.26,1.55,3231,20237,31376,2007,PWS
Coho,8.54,0.82,329,2811,2301,2007,PWS
Pink,3.36,0.19,63470,213455,40714,2007,PWS
Chum,6.93,0.34,3579,24799,8551,2007,PWS
Chinook,21.35,5.96,12,265,1578,2008,PWS
Sockeye,6.15,1.69,1301,8004,13527,2008,PWS
Coho,9.51,1.22,551,5234,6386,2008,PWS
Pink,3.39,0.37,42354,143620,53139,2008,PWS
Chum,7.76,0.58,5076,39373,22837,2008,PWS
Chinook,18.79,4.60,10,186,855,2009,PWS
Sockeye,6.22,1.83,1913,11901,21800,2009,PWS
Coho,8.85,1.29,300,2655,3437,2009,PWS
Pink,3.01,0.26,19001,57157,14811,2009,PWS
Chum,7.52,0.56,3221,24232,13478,2009,PWS
Chinook,19.64,5.45,10,197,1076,2010,PWS
Sockeye,6.14,2.01,2037,12515,25117,2010,PWS
Coho,8.95,1.43,334,2987,4268,2010,PWS
Pink,3.6,0.41,71310,256425,104486,2010,PWS
Chum,6.81,0.81,4323,29431,23904,2010,PWS
Chinook,20.26,5.63,19,387,2180,2011,PWS
Sockeye,6.12,1.82,3532,21633,39371,2011,PWS
Coho,7.07,1.13,370,2619,2951,2011,PWS
Pink,2.99,0.46,33356,99797,46087,2011,PWS
Chum,7.41,0.90,1910,14156,12773,2011,PWS
Chinook,20.88,6.68,12,255,1704,2012,PWS
Sockeye,6.72,1.83,3690,24785,45375,2012,PWS
Coho,8.05,1.27,209,1683,2130,2012,PWS
Pink,3.94,0.50,27232,107183,54007,2012,PWS
Chum,7.12,0.76,3818,27188,20755,2012,PWS
Chinook,16.79,5.46,10,175,956,2013,PWS
Sockeye,6.08,2.28,2280,13870,31677,2013,PWS
Coho,7.81,1.33,581,4539,6060,2013,PWS
Pink,2.81,0.41,91017,255707,106017,2013,PWS
Chum,7.32,0.60,4006,29325,17475,2013,PWS
Chinook,17.69,6.31,10,179,1129,2014,PWS
Sockeye,5.93,2.29,3307,19615,44961,2014,PWS
Coho,8.08,1.10,600,4853,5346,2014,PWS
Pink,3.37,0.31,43902,148093,45603,2014,PWS
Chum,7.62,0.64,1530,11659,7449,2014,PWS
Chinook,16.42,5.65,24,388,2189,2015,PWS
Sockeye,5.35,2.01,3210,17183,34593,2015,PWS
Coho,7.43,0.66,198,1469,966,2015,PWS
Pink,3.38,0.22,98254,332085,71913,2015,PWS
Chum,5.38,0.61,2544,13679,8331,2015,PWS
Chinook,13.95,0.73,20,310,230,1994,Kodiak
Sockeye,4.98,1.28,2880,14340,18360,1994,Kodiak
Coho,8.69,0.67,300,2570,1720,1994,Kodiak
Pink,3.81,0.18,8160,31090,5600,1994,Kodiak
Chum,7.43,0.20,740,5490,1100,1994,Kodiak
Chinook,13.78,0.69,20,260,180,1995,Kodiak
Sockeye,5.11,1.05,4490,22930,24080,1995,Kodiak
Coho,8.03,0.40,310,2470,990,1995,Kodiak
Pink,3.51,0.17,42800,150390,25570,1995,Kodiak
Chum,7.49,0.27,1520,11410,3080,1995,Kodiak
Chinook,13.7,0.50,13,180,90,1996,Kodiak
Sockeye,5.7,0.80,4925,28070,22460,1996,Kodiak
Coho,7.5,0.25,195,1460,365,1996,Kodiak
Pink,3.5,0.05,3650,12775,640,1996,Kodiak
Chum,8.2,0.15,512,4200,630,1996,Kodiak
Chinook,9.98,0.64,20,190,120,1997,Kodiak
Sockeye,5.25,0.96,2510,13160,12640,1997,Kodiak
Coho,7.97,0.56,380,3040,1700,1997,Kodiak
Pink,3.38,0.15,11040,37270,5590,1997,Kodiak
Chum,7.99,0.19,520,4160,790,1997,Kodiak
Chinook,14.37,0.75,20,250,190,1998,Kodiak
Sockeye,4.84,1.00,3620,17540,17540,1998,Kodiak
Coho,8.45,0.50,430,3590,1800,1998,Kodiak
Pink,3.71,0.12,22060,81850,9820,1998,Kodiak
Chum,7.8,0.20,320,2470,490,1998,Kodiak
Chinook,12.71,0.68,20,230,160,1999,Kodiak
Sockeye,5.6,1.08,4650,26060,28140,1999,Kodiak
Coho,7.41,0.41,300,2200,900,1999,Kodiak
Pink,3.06,0.14,11900,36410,5100,1999,Kodiak
Chum,7.9,0.15,910,7220,1080,1999,Kodiak
Chinook,14.9,0.75,10,180,140,2000,Kodiak
Sockeye,5.7,0.85,2910,16590,14100,2000,Kodiak
Coho,8,0.50,330,2630,1310,2000,Kodiak
Pink,3.3,0.12,9930,32770,3930,2000,Kodiak
Chum,8.2,0.20,1190,9790,1960,2000,Kodiak
Chinook,13.88,0.72,20,330,240,2001,Kodiak
Sockeye,5.54,0.70,2660,14740,10320,2001,Kodiak
Coho,7.78,0.24,410,3180,760,2001,Kodiak
Pink,3.44,0.12,19570,67370,8080,2001,Kodiak
Chum,8.16,0.32,1050,8600,2750,2001,Kodiak
Chinook,10.16,0.37,19,193,71,2002,Kodiak
Sockeye,5.65,0.61,1831,10347,6312,2002,Kodiak
Coho,7.7,0.18,504,3883,699,2002,Kodiak
Pink,3.68,0.08,18329,67510,5401,2002,Kodiak
Chum,7.79,0.16,650,5062,810,2002,Kodiak
Chinook,10,0.35,19,190,67,2003,Kodiak
Sockeye,5.36,0.59,4054,21735,12824,2003,Kodiak
Coho,7.69,0.20,352,2708,542,2003,Kodiak
Pink,3.55,0.09,14067,49940,4495,2003,Kodiak
Chum,7.16,0.14,1152,8251,1155,2003,Kodiak
Chinook,11.36,0.51,29,328,169,2004,Kodiak
Sockeye,5.29,0.60,4170,22061,13214,2004,Kodiak
Coho,7.69,0.26,490,3768,986,2004,Kodiak
Pink,3.64,0.09,21441,78082,7321,2004,Kodiak
Chum,7.66,0.12,1122,8596,1056,2004,Kodiak
Chinook,11.68,0.76,14,169,128,2005,Kodiak
Sockeye,5.48,0.77,3052,16735,12886,2005,Kodiak
Coho,7.53,0.42,397,2987,1255,2005,Kodiak
Pink,3.41,0.12,30144,102807,12337,2005,Kodiak
Chum,7.82,0.20,477,3732,746,2005,Kodiak
Chinook,10.32,0.94,20,210,198,2006,Kodiak
Sockeye,5.11,0.84,1586,8095,6800,2006,Kodiak
Coho,7.8,0.66,556,4339,2863,2006,Kodiak
Pink,3.7,0.16,31694,117388,18782,2006,Kodiak
Chum,8.41,0.33,1082,9101,3003,2006,Kodiak
Chinook,9.65,0.89,17,164,146,2007,Kodiak
Sockeye,5.65,1.00,2014,11375,11360,2007,Kodiak
Coho,7.37,0.60,357,2631,1572,2007,Kodiak
Pink,3.64,0.20,24811,90190,17703,2007,Kodiak
Chum,7.77,0.35,729,5667,1995,2007,Kodiak
Chinook,8.07,1.00,17,139,139,2008,Kodiak
Sockeye,5.53,1.19,1822,10077,11991,2008,Kodiak
Coho,8.08,1.20,301,2436,2924,2008,Kodiak
Pink,3.7,0.36,8789,32532,11711,2008,Kodiak
Chum,8.41,0.50,908,7639,3820,2008,Kodiak
Chinook,9.17,0.68,7,66,45,2009,Kodiak
Sockeye,5.7,1.12,1727,9842,11064,2009,Kodiak
Coho,6.62,0.61,289,1910,1163,2009,Kodiak
Pink,3.31,0.26,27648,91569,23560,2009,Kodiak
Chum,7.72,0.44,956,7381,3235,2009,Kodiak
Chinook,7.98,0.73,15,116,84,2010,Kodiak
Sockeye,5.35,1.41,1437,7692,10864,2010,Kodiak
Coho,7.53,0.79,266,2007,1587,2010,Kodiak
Pink,3.63,0.44,8864,32175,14104,2010,Kodiak
Chum,7.67,0.56,734,5634,3157,2010,Kodiak
Chinook,9.38,0.84,18,173,145,2011,Kodiak
Sockeye,5.92,1.53,2268,13436,20517,2011,Kodiak
Coho,6.67,0.82,188,1258,1026,2011,Kodiak
Pink,3.21,0.46,16642,53423,24728,2011,Kodiak
Chum,6.75,0.69,824,5565,3846,2011,Kodiak
Chinook,7.37,0.64,15,109,69,2012,Kodiak
Sockeye,5.56,1.47,2235,12422,18254,2012,Kodiak
Coho,6.96,0.77,209,1452,1116,2012,Kodiak
Pink,3.58,0.47,16873,60417,28372,2012,Kodiak
Chum,7.88,0.60,866,6824,4109,2012,Kodiak
Chinook,7.5,0.79,34,255,202,2013,Kodiak
Sockeye,5.76,1.59,2570,14792,23511,2013,Kodiak
Coho,6.62,0.45,268,1777,804,2013,Kodiak
Pink,3.16,0.39,28162,89068,34599,2013,Kodiak
Chum,7.83,0.45,792,6203,2785,2013,Kodiak
Chinook,7.3,1.44,9,63,88,2014,Kodiak
Sockeye,5.22,1.78,3257,17007,30158,2014,Kodiak
Coho,7.74,0.66,474,3662,2401,2014,Kodiak
Pink,3.51,0.33,10678,37431,12188,2014,Kodiak
Chum,7.59,0.48,337,2556,1215,2014,Kodiak
Chinook,9.1,0.96,9,77,74,2015,Kodiak
Sockeye,4.86,0.89,3104,15058,13402,2015,Kodiak
Coho,6.04,0.36,417,2517,906,2015,Kodiak
Pink,3.32,0.19,33008,109452,20796,2015,Kodiak
Chum,7.05,0.40,772,5433,2174,2015,Kodiak
