Species,AvgWt_pounds,AvgPrice_pounds,fish_thousands,pounds_fish_thousands,value_thousands,Year,Region
Chinook,16.07,1.93,220,3480,6720,1994,Southeast
Sockeye,5.96,1.39,2390,14260,19820,1994,Southeast
Coho,7.56,1.06,5720,43210,45800,1994,Southeast
Pink,3,0.20,57650,172940,34590,1994,Southeast
Chum,7.6,0.25,10400,79020,19760,1994,Southeast
Chinook,16.52,1.53,210,3540,5410,1995,Southeast
Sockeye,5.79,1.21,1800,10390,12570,1995,Southeast
Coho,7.64,0.72,3350,25550,18390,1995,Southeast
Pink,3.18,0.21,47960,152730,32070,1995,Southeast
Chum,8.16,0.37,11164,91100,33710,1995,Southeast
Chinook,17,1.75,200,3440,6010,1996,Southeast
Sockeye,6.5,1.25,2790,18140,22670,1996,Southeast
Coho,8,0.50,3030,24280,12140,1996,Southeast
Pink,3.2,0.11,64660,206900,22760,1996,Southeast
Chum,11,0.18,15800,173800,31280,1996,Southeast
Chinook,17.2,1.63,300,5170,8420,1997,Southeast
Sockeye,6.23,1.21,2480,15430,18670,1997,Southeast
Coho,7.3,0.99,1970,14410,14270,1997,Southeast
Pink,3.85,0.16,28980,111590,17850,1997,Southeast
Chum,8.99,0.25,11790,105990,26500,1997,Southeast
Chinook,17.09,1.02,240,4050,4130,1998,Southeast
Sockeye,6.05,1.09,1380,8320,9070,1998,Southeast
Coho,7.8,0.60,2990,23310,13990,1998,Southeast
Pink,3.47,0.14,42530,147570,20660,1998,Southeast
Chum,8.85,0.18,15700,138900,25000,1998,Southeast
Chinook,15.35,1.66,190,2950,4910,1999,Southeast
Sockeye,5.9,1.13,1160,6840,7730,1999,Southeast
Coho,6,0.98,3580,21510,21080,1999,Southeast
Pink,2.93,0.14,77770,227850,31900,1999,Southeast
Chum,9.41,0.20,14900,140250,28050,1999,Southeast
Chinook,16.29,1.52,230,3780,5750,2000,Southeast
Sockeye,6.03,0.96,1220,7330,7020,2000,Southeast
Coho,7.08,0.70,1950,13800,9690,2000,Southeast
Pink,3.41,0.12,20250,69030,8070,2000,Southeast
Chum,9.38,0.28,15850,148610,41680,2000,Southeast
Chinook,17.03,1.69,244,4160,7030,2001,Southeast
Sockeye,6.18,0.85,2040,12590,10700,2001,Southeast
Coho,6.72,0.63,3300,22140,13950,2001,Southeast
Pink,3.29,0.14,67050,220590,30880,2001,Southeast
Chum,8.87,0.39,8740,77540,30240,2001,Southeast
Chinook,15.97,1.13,417,6661,7527,2002,Southeast
Sockeye,6.25,0.74,806,5039,3729,2002,Southeast
Coho,7.53,0.42,3242,24417,10255,2002,Southeast
Pink,3.32,0.09,45331,150574,13552,2002,Southeast
Chum,9.3,0.22,7455,69349,15257,2002,Southeast
Chinook,15.35,1.20,431,6616,7939,2003,Southeast
Sockeye,6.07,0.90,1525,9253,8328,2003,Southeast
Coho,7.03,0.65,2498,17564,11417,2003,Southeast
Pink,3.51,0.10,52516,184495,18450,2003,Southeast
Chum,7.19,0.22,11115,79881,17574,2003,Southeast
Chinook,14.92,2.07,497,7413,15359,2004,Southeast
Sockeye,5.9,0.86,2038,12026,10349,2004,Southeast
Coho,7.05,0.92,3085,21743,20089,2004,Southeast
Pink,3.63,0.10,45333,164565,17182,2004,Southeast
Chum,8.13,0.23,11372,92456,20849,2004,Southeast
Chinook,14.11,2.53,462,6518,16491,2005,Southeast
Sockeye,5.64,1.05,1608,9069,9523,2005,Southeast
Coho,6.12,0.95,3003,18369,17451,2005,Southeast
Pink,3.5,0.12,59167,207111,24853,2005,Southeast
Chum,8.88,0.30,6428,57087,17126,2005,Southeast
Chinook,14.96,3.65,379,5670,20679,2006,Southeast
Sockeye,5.66,1.14,1334,7556,8581,2006,Southeast
Coho,6.84,1.55,2092,14304,22242,2006,Southeast
Pink,4.02,0.17,11666,46945,7854,2006,Southeast
Chum,8.93,0.35,13993,124889,43877,2006,Southeast
Chinook,14.72,3.52,359,5283,18596,2007,Southeast
