"year" "spec" "p_fshy" "earn" "pounds" "price" "dearn" "dpounds" "dprice" "lag_price" "lag_pounds"
1976 "CHNK" "S 01A" 86872.2150004535 22374 3.88273062485266 0.244496770636504 -0.254938060682782 0.499434831319287 NA NA
1977 "CHNK" "S 01A" 487845.474990748 88636 5.50392024674791 1.72556046027759 1.37663852520222 0.348921935075366 -0.150512896243921 -0.254938060682782
1978 "CHNK" "S 01A" 1079911.21458028 219957 4.9096469518146 0.794635401917034 0.908893977076218 -0.114258575159186 -0.463180510234552 1.37663852520222
1979 "CHNK" "S 01A" 451435.359441796 140262 3.21851506068498 -0.872201913866235 -0.449919970463222 -0.422281943403012 -0.308023368243826 0.908893977076218
1980 "CHNK" "S 01A" 670256.298165758 195302 3.43189674537771 0.395227979662321 0.331034976245645 0.0641930034166776 0.486474946819689 -0.449919970463222
1981 "CHNK" "S 01A" 671374.510531305 165599 4.05421838616964 0.00166694535818834 -0.164977875200016 0.166644820558204 0.102451817141527 0.331034976245645
1982 "CHNK" "S 01A" 2050900.15524937 477189 4.29787810542441 1.11670695670659 1.05834343554089 0.0583635211656952 -0.108281299392509 -0.164977875200016
1983 "CHNK" "S 01A" 439249.953318146 218215 2.01292282069586 -1.54096545508692 -0.782431823518976 -0.758533631567948 -0.816897152733643 1.05834343554089
1984 "CHNK" "S 01A" 1564183.82949566 390617 4.00439261346962 1.27005083144798 0.582246724973446 0.687804106474536 1.44633773804248 -0.782431823518976
1985 "CHNK" "S 01A" 1140401.23348941 374695 3.04354537287504 -0.315984013572239 -0.0416151785788799 -0.27436883499336 -0.962172941467896 0.582246724973446
1986 "CHNK" "S 01A" 598223.126059631 255191 2.34421717873918 -0.645171633807127 -0.38410007731099 -0.261071556496136 0.0132972784972234 -0.0416151785788799
1987 "CHNK" "S 01A" 261205.213847927 94498 2.76413483722329 -0.828657446523536 -0.993433614136507 0.16477616761297 0.425847724109106 -0.38410007731099
1988 "CHNK" "S 01A" 1131320.8119534 236782 4.77790039763749 1.46583473092097 0.918561216352591 0.547273514568378 0.382497346955409 -0.993433614136507
1989 "CHNK" "S 01A" 432325.215878735 281971 1.53322581357209 -0.961962969701485 0.174664342163442 -1.13662731186493 -1.68390082643331 0.918561216352591
1990 "CHNK" "S 01A" 280780.723035912 205848 1.36401967974385 -0.431604099917372 -0.314666196414375 -0.116937903502997 1.01968940836193 0.174664342163442
1991 "CHNK" "S 01A" 300069.050483382 272762 1.10011310403715 0.0664385968113681 0.281461587722777 -0.215022990911409 -0.098085087408412 -0.314666196414375
1992 "CHNK" "S 01A" 438361.558301684 301221 1.45528219580203 0.379031428983996 0.0992445945318643 0.279786834452132 0.494809825363541 0.281461587722777
1993 "CHNK" "S 01A" 180510.298433088 152943 1.18024557144222 -0.887256214257166 -0.677778911651671 -0.209477302605495 -0.489264137057628 0.0992445945318643
1994 "CHNK" "S 01A" 321732.668302137 268268 1.19929573524288 0.577933146878216 0.56192117788474 0.0160119689934785 0.225489271598974 -0.677778911651671
1995 "CHNK" "S 01A" 369419.882901183 390236 0.946657619751081 0.138212913116412 0.374765203468636 -0.236552290352225 -0.252564259345703 0.56192117788474
1996 "CHNK" "S 01A" 329614.903187952 401037 0.82190646545818 -0.114008878174976 0.0273020080641242 -0.1413108862391 0.0952414041131247 0.374765203468636
1997 "CHNK" "S 01A" 155215.193118743 181399 0.855656277701325 -0.753112516231806 -0.793354667390021 0.0402421511582152 0.181553037397315 0.0273020080641242
1998 "CHNK" "S 01A" 179874.694058715 283707 0.634015706551884 0.147447967586968 0.447242990475086 -0.299795022888118 -0.340037174046334 -0.793354667390021
1999 "CHNK" "S 01A" 179148.411835975 288634 0.620676745760981 -0.00404588563541708 0.0172174340567484 -0.0212633196921646 0.278531703195954 0.447242990475086
2000 "CHNK" "S 01A" 331205.659294359 382061 0.866892091300497 0.614524930890827 0.280420832203506 0.33410409868732 0.355367418379485 0.0172174340567484
2001 "CHNK" "S 01A" 288636.645851492 389912 0.740260996972373 -0.137570893325398 0.0203407909152649 -0.157911684240663 -0.492015782927984 0.280420832203506
2002 "CHNK" "S 01A" 100122.886239093 281419 0.355778700937368 -1.05877032233551 -0.326076410691206 -0.732693911644303 -0.574782227403639 0.0203407909152649
2003 "CHNK" "S 01A" 129245.165976778 409592 0.315546119008131 0.255312818176973 0.375316880338483 -0.12000406216151 0.612689849482793 -0.326076410691206
2004 "CHNK" "S 01A" 416416.387997397 649108 0.641520961068723 1.1699745802256 0.46043757043627 0.709537009789331 0.829541071950841 0.375316880338483
2005 "CHNK" "S 01A" 269029.51696546 329922 0.815433699375793 -0.436864590269966 -0.676742849834955 0.239878259564989 -0.469658750224342 0.46043757043627
2006 "CHNK" "S 01A" 513183.478884529 411318 1.24765626324287 0.645812337792227 0.22051037506905 0.425301962723177 0.185423703158188 -0.676742849834955
