Fishery,Species,Significant lags
Southeast - seine,Chinook,1
PWS - seine,Coho,"1,2"
Cook Inlet - seine,Pink,1
PWS - drift gillnet,Coho,"1,2"
Bristol Bay - drift gillnet,Sockeye,"1,2"
Yakutat - set gillnet,Coho,"1,2"
Cook Inlet - set gillnet,Coho,2
Bristol Bay - set gillnet,Sockeye,"1,2"
