,Chinook,Sockeye,Coho,Pink,Chum,Source
1975,22099,546620,84057,4452443,101276,Botz_et_al_2011
1976,32727,1008840,160494,3022426,370657,Botz_et_al_2011
1977,22864,943931,179417,4535693,572693,Botz_et_al_2011
1978,30435,505509,312930,2783851,489771,Botz_et_al_2011
1979,20078,369583,315774,15613610,349599,Botz_et_al_2011
1980,8643,208724,337123,14161023,482214,Botz_et_al_2011
1981,20782,784458,397163,20557936,1888731,Botz_et_al_2011
1982,47871,2362535,630164,20402266,1337003,Botz_et_al_2011
1983,53879,908485,365499,13294163,1049039,Botz_et_al_2011
1984,39914,1335073,623114,21183176,1262779,Botz_et_al_2011
1985,43529,1450148,1024552,23871791,1293705,Botz_et_al_2011
1986,42128,1288213,425747,11425794,1705426,Botz_et_al_2011
1987,42045,1741880,175652,29358735,1953659,Botz_et_al_2011
1988,31805,768315,478519,11828187,1850216,Botz_et_al_2011
1989,31885,1166213,305935,17465417,669075,Botz_et_al_2011
1990,22128,910837,523808,44150836,965116,Botz_et_al_2011
1991,35259,1733342,641354,32850236,351875,Botz_et_al_2011
1992,41301,1765024,618923,8633967,331484,Botz_et_al_2011
1993,31996,1844245,445405,5735959,1181230,Botz_et_al_2011
1994,48546,1513374,1058125,36829766,1052209,Botz_et_al_2011
1995,67082,1518107,964806,15906669,756360,Botz_et_al_2011
1996,56456,3000070,459319,26048812,2103559,Botz_et_al_2011
1997,52482,4162702,80186,25715985,2220362,Botz_et_al_2011
1998,70722,1683178,174533,28376424,1247140,Botz_et_al_2011
1999,63420,2025070,169892,45021447,2960524,Botz_et_al_2011
2000,32403,1430718,714286,38885528,5163463,Botz_et_al_2011
2001,40445,2260973,488919,35245598,3098092,Botz_et_al_2011
2002,39675,2261739,650331,18950931,6373487,Botz_et_al_2011
2003,48176,2726015,521917,51966183,3804894,Botz_et_al_2011
2004,38599,1891797,619911,23531483,2001948,Botz_et_al_2011
2005,35248,1986749,531545,59944633,2099466,Botz_et_al_2011
2006,30839,2522773,763554,21721976,2181555,Botz_et_al_2011
2007,40031,3228873,328627,63468877,3578940,Botz_et_al_2011
2008,11788,1298539,550026,42347004,5076121,Botz_et_al_2011
2009,10036,1912305,299848,18355212,3219320,Botz_et_al_2011
2010,10170,2036961,333621,71309575,4322873,Botz_et_al_2011
2011,19116,3531924,370330,33394645,1914190,Botz_et_al_2013
2012,13159,3700809,210466,27582654,3834976,Sheridan_et_al_2013
2013,10148,2323681,619181,92639875,4070023,Botz_et_al_2014
2014,11659,3305224,615676,44309676,1536940,Wiese_et_al_2015
,,,,,,
,,,,,,
