S15B,Salmon Troll,Statewide
S03,Sockeye gillnet,"Cook Inlet, Bristol Bay, Alaska Peninsula"
S01E S03E,Salmon purse seine + gillnet,PWS
S03E,Salmon gillnet,PWS
B61B C61B,Halibut and sablefish longline,Statewide
B61B S03,Sockeye gillnet and halibut longline,"Cook Inlet, Bristol Bay, Alaska Peninsula"
S04a,Salmon gillnet,"PWS, Cook Inlet, Kodiak, Alaska Peninsula, Bristol Bay"
B61B S15B,Halibut longline and salmon troll,Statewide
M07B,Otter trawl (finfish),Statewide
S01L,Salmon purse seine,Chignik
S01A,Salmon purse seine,Statewide
G34,Herring gillnet,Statewide
S04b,Salmon gillnet,KUSKOKWIM / Norton sound
B61B,Halibut longline,Statewide
B61B M61B,Halibut and finfish longline,Statewide
S01,Salmon purse seine,"Cook Inlet, Kodiak"
C61B,Sablefish longline,Statewide
T91Q,Tanner crab,Bering Sea
B61B C61B S15B,"Halibut and sablefish longline, salmon troll",Statewide
S04D,Salmon gillnet,Yakutat
G01 S01,Herring and salmon purse seine,"Cook Inlet, Kodiak"
B61B S01,Salmon purse seine and halibut longline,"Cook Inlet, Kodiak"
B61B S03E,Salmon gillnet and halibut longline,PWS
B61B S03A,Salmon gillnet and halibut longline,SEAK
M61B,Finfish longline,Statewide
B61B S01A,Salmon purse seine and halibut longline,
S01E,Salmon purse seine,PWS
G34 S03,Herring and sockeye gillnet,"Cook Inlet, Bristol Bay, Alaska Peninsula"
B61B D09,Dungeness crab and halibut longline,SEAK
G01 S03,Salmon and herring purse seine,"Cook Inlet, Kodiak"
K91 T91Q,King and tanner crab,Bering Sea
S03A,Salmon gillnet,SEAK
G34 S04Y,Herring and salmon gillnet,Lower Yukon
B61B C61B M61B,"Salmon, sablefish, and finfish longline",Statewide
Q11,Razor clam,Statewide
M7HB,Otter trawl (pollock),Statewide
K91,King Crab,Bering Sea
G34 S04b,Herring and salmon gillnet,KUSKOKWIM / Norton sound
G01,Herring purse seine,Statewide
K91 K91 T91Q,King and tanner crab,Bering Sea
S01M,Salmon purse seine,Alaska Peninsula
M91B,Finfish pot gear (pcod),Statewide
D09,Dungeness crab,SEAK
C61A,Sablefish longline,SEAK
L21,Herring pound,Statewide
K91 M91B T91Q,"King and tanner crab, pcod in pots",Statewide
