PERIOD,VALUE,Permit
1982,38650,S 03A
1983,34653,S 03A
1984,34615,S 03A
1985,36245,S 03A
1986,44849,S 03A
1987,55632,S 03A
1988,77621,S 03A
1989,128667,S 03A
1990,106500,S 03A
1991,82800,S 03A
1992,75500,S 03A
1993,82200,S 03A
1994,62900,S 03A
1995,70800,S 03A
1996,59400,S 03A
1997,50600,S 03A
1998,35400,S 03A
1999,33900,S 03A
2000,33000,S 03A
2001,41300,S 03A
2002,27900,S 03A
2003,21100,S 03A
2004,21800,S 03A
2005,29500,S 03A
2006,38900,S 03A
2007,55900,S 03A
2008,54400,S 03A
2009,53900,S 03A
2010,57400,S 03A
2011,80100,S 03A
2012,94600,S 03A
2013,113200,S 03A
2014,94900,S 03A
2015,88900,S 03A
1982,46337,S 03E
1983,61760,S 03E
1984,53544,S 03E
1985,55991,S 03E
1986,61606,S 03E
1987,62365,S 03E
1988,75884,S 03E
1989,141115,S 03E
1990,159797,S 03E
1991,127300,S 03E
1992,98100,S 03E
1993,99300,S 03E
1994,65800,S 03E
1995,69000,S 03E
1996,60600,S 03E
1997,67900,S 03E
1998,69300,S 03E
1999,55200,S 03E
2000,59300,S 03E
2001,57500,S 03E
2002,41000,S 03E
2003,35900,S 03E
2004,40400,S 03E
2005,48300,S 03E
2006,51600,S 03E
2007,52000,S 03E
2008,90300,S 03E
2009,110900,S 03E
2010,128100,S 03E
2011,162100,S 03E
2012,180200,S 03E
2013,195200,S 03E
2014,224100,S 03E
2015,224200,S 03E
1982,19400,S 04E
1983,24167,S 04E
1984,31250,S 04E
1985,32375,S 04E
1986,NA,S 04E
1987,29625,S 04E
1988,49833,S 04E
1989,64167,S 04E
1990,86667,S 04E
1991,90000,S 04E
1992,95000,S 04E
1993,95000,S 04E
1994,75000,S 04E
1995,63000,S 04E
1996,59000,S 04E
1997,50000,S 04E
1998,51000,S 04E
1999,51000,S 04E
2000,60500,S 04E
2001,60300,S 04E
2002,59200,S 04E
2003,59900,S 04E
2004,62800,S 04E
2005,62700,S 04E
2006,61500,S 04E
2007,61500,S 04E
2008,59500,S 04E
2009,59500,S 04E
2010,59800,S 04E
2011,59800,S 04E
2012,61000,S 04E
2013,119300,S 04E
2014,190800,S 04E
2015,190800,S 04E
1982,40636,S 01A
1983,38531,S 01A
1984,40884,S 01A
1985,37907,S 01A
1986,36059,S 01A
1987,40832,S 01A
1988,65833,S 01A
1989,79267,S 01A
1990,110563,S 01A
1991,92700,S 01A
1992,65000,S 01A
1993,79600,S 01A
1994,73600,S 01A
1995,75900,S 01A
1996,61200,S 01A
1997,50000,S 01A
1998,49500,S 01A
1999,40400,S 01A
2000,39300,S 01A
2001,34700,S 01A
2002,22800,S 01A
2003,32800,S 01A
2004,32100,S 01A
2005,41800,S 01A
2006,52900,S 01A
2007,59700,S 01A
2008,67800,S 01A
2009,72800,S 01A
2010,87400,S 01A
2011,129500,S 01A
2012,236000,S 01A
2013,300800,S 01A
2014,307000,S 01A
2015,250000,S 01A
1982,97578,S 01E
1983,143186,S 01E
1984,131695,S 01E
1985,109625,S 01E
1986,98841,S 01E
1987,93500,S 01E
1988,145972,S 01E
1989,236333,S 01E
1990,273333,S 01E
1991,215500,S 01E
1992,98300,S 01E
1993,88900,S 01E
1994,35300,S 01E
1995,64300,S 01E
1996,33800,S 01E
1997,36400,S 01E
1998,36600,S 01E
1999,23100,S 01E
2000,22000,S 01E
2001,21400,S 01E
2002,20000,S 01E
2003,13500,S 01E
2004,14000,S 01E
2005,19200,S 01E
2006,26100,S 01E
2007,30900,S 01E
2008,70200,S 01E
2009,75300,S 01E
2010,100500,S 01E
2011,140000,S 01E
2012,168700,S 01E
2013,168000,S 01E
2014,204600,S 01E
2015,186700,S 01E
1982,71250,G 01E
1983,NA,G 01E
1984,NA,G 01E
1985,66375,G 01E
1986,76591,G 01E
1987,96250,G 01E
1988,182500,G 01E
1989,245000,G 01E
1990,216667,G 01E
1991,239000,G 01E
1992,196500,G 01E
1993,180000,G 01E
1994,112500,G 01E
1995,59200,G 01E
1996,71900,G 01E
1997,125300,G 01E
1998,120000,G 01E
1999,80000,G 01E
2000,34000,G 01E
2001,34000,G 01E
2002,27100,G 01E
2003,16300,G 01E
2004,14800,G 01E
2005,14800,G 01E
2006,14800,G 01E
2007,12500,G 01E
2008,9800,G 01E
2009,10300,G 01E
2010,23000,G 01E
2011,29500,G 01E
2012,30500,G 01E
2013,31600,G 01E
2014,30900,G 01E
2015,30900,G 01E
1982,NA,G 34E
1983,17000,G 34E
1984,24000,G 34E
1985,29667,G 34E
1986,30500,G 34E
1987,31667,G 34E
1988,56667,G 34E
1989,92667,G 34E
1990,92667,G 34E
1991,86900,G 34E
1992,86900,G 34E
1993,83700,G 34E
1994,83700,G 34E
1995,64300,G 34E
1996,64300,G 34E
1997,69400,G 34E
1998,69400,G 34E
1999,69400,G 34E
2000,69400,G 34E
2001,69400,G 34E
2002,69400,G 34E
2003,69400,G 34E
2004,69400,G 34E
2005,69400,G 34E
2006,69400,G 34E
2007,69400,G 34E
2008,69400,G 34E
2009,69400,G 34E
2010,69400,G 34E
2011,69400,G 34E
2012,69400,G 34E
2013,69400,G 34E
2014,69400,G 34E
2015,69400,G 34E
1982,NA,G 01A
1983,NA,G 01A
1984,NA,G 01A
1985,NA,G 01A
1986,NA,G 01A
1987,216667,G 01A
1988,423333,G 01A
1989,423333,G 01A
1990,330000,G 01A
1991,235000,G 01A
1992,235000,G 01A
1993,207500,G 01A
1994,185000,G 01A
1995,175000,G 01A
1996,287300,G 01A
1997,227500,G 01A
1998,208500,G 01A
1999,211800,G 01A
2000,241300,G 01A
2001,244500,G 01A
2002,255900,G 01A
2003,258700,G 01A
2004,297000,G 01A
2005,297000,G 01A
2006,280000,G 01A
2007,283800,G 01A
2008,290000,G 01A
2009,290000,G 01A
2010,444000,G 01A
2011,518800,G 01A
2012,366300,G 01A
2013,430000,G 01A
2014,419000,G 01A
2015,243300,G 01A
1982,27500,G 34A
1983,29167,G 34A
1984,39583,G 34A
1985,45000,G 34A
1986,51250,G 34A
