name,abb,lat,long
Prince William Sound,PWS,60.615,147.168056
Kodiak,KO,57.79,152.4072
Chignik,CH,56.298333,158.404444
Norton Sound,NS,63.9537,163.3767
Yakutat,YA,59.547,139.7273
Lower Yukon,YU,,
Alaska Peninsula,AP,55.2045,162.7184
Cook Inlet,CI,60.337778,151.875
Bristol Bay,BB,57.326389,159.824722
Kuskokwim,KU,60.083056,162.333889
